InvoiceID,TaxCategory,TaxRate,TaxableAmount,TaxAmount,ErrorScenarioCode
INV-2025-000039,S,5.00,3561.67,178.08,
INV-2025-000040,S,5.00,2975.49,148.77,
INV-2025-000041,S,5.00,18755.16,937.76,
INV-2025-000042,S,5.00,2024.94,101.25,
INV-2025-000043,S,5.00,89671.25,4483.56,
INV-2025-000044,S,5.00,4805.18,240.27,
INV-2025-000045,S,5.00,199986.05,9999.31,
INV-2025-000046,S,5.00,9390.99,469.55,
INV-2025-000047,S,5.00,287.61,14.38,
INV-2025-000048,S,5.00,4548.00,227.40,
INV-2025-000049,S,5.00,11308.74,565.44,
INV-2025-000050,S,5.00,255340.71,12767.03,
INV-2025-000051,S,5.00,24703.94,1235.20,
INV-2025-000052,S,5.00,8723.28,436.16,
INV-2025-000053,S,5.00,4983.39,249.17,
INV-2025-000054,S,5.00,191460.94,9573.05,
INV-2025-000055,S,5.00,8142.86,407.14,
INV-2025-000056,S,5.00,932.82,46.64,
INV-2025-000057,S,5.00,13271.64,663.58,
INV-2025-000058,S,5.00,2199.12,109.96,
INV-2025-000059,E,0.00,117.21,0.00,
INV-2025-000059,S,5.00,100602.33,5030.12,
INV-2025-000060,E,0.00,1799.67,0.00,
INV-2025-000060,S,5.00,500.70,25.04,
INV-2025-000061,S,5.00,131876.69,6593.83,
INV-2025-000062,S,5.00,5359.98,268.00,
INV-2025-000063,S,5.00,8001.52,400.08,
INV-2025-000064,S,5.00,9302.90,465.15,
INV-2025-000065,S,5.00,948.04,47.40,
INV-2025-000066,E,0.00,570.12,0.00,
INV-2025-000066,S,5.00,11206.97,560.34,
INV-2025-000067,E,0.00,64401.30,0.00,
INV-2025-000067,S,5.00,121829.01,6091.45,
INV-2025-000068,S,5.00,9222.24,461.11,
INV-2025-000069,S,5.00,158.39,7.92,
INV-2025-000070,S,5.00,3933.48,196.68,
INV-2025-000071,S,5.00,797.40,39.87,
INV-2025-000072,S,5.00,10098.58,504.92,
INV-2025-000073,S,5.00,113303.90,5665.20,
INV-2025-000074,S,5.00,8447.43,422.37,
INV-2025-000075,S,5.00,11289.37,564.47,
INV-2025-000076,E,0.00,317.96,0.00,
INV-2025-000076,S,5.00,4797.10,239.86,
INV-2025-000077,S,5.00,550.53,27.53,
INV-2025-000078,S,5.00,3910.42,195.52,
INV-2025-000079,S,5.00,1840.38,92.02,
INV-2025-000080,S,5.00,2085.40,104.27,
INV-2025-000081,S,5.00,223.16,11.16,
INV-2025-000082,S,5.00,3185.28,159.26,
INV-2025-000083,S,5.00,2170.25,108.52,
INV-2025-000084,S,5.00,46405.32,2320.27,
INV-2025-000085,E,0.00,13125.02,0.00,
INV-2025-000085,S,5.00,3548.49,177.43,
INV-2025-000086,S,5.00,121353.86,6067.70,
INV-2025-000087,S,5.00,4217.58,210.88,
INV-2025-000088,S,5.00,245278.35,12263.92,
INV-2025-000089,S,5.00,1740.85,87.04,
INV-2025-000090,S,5.00,51994.86,2599.75,
INV-2025-000091,S,5.00,4492.88,224.64,
INV-2025-000092,S,5.00,175.98,8.79,
INV-2025-000093,S,5.00,26718.92,1335.94,
INV-2025-000094,S,5.00,14203.20,710.16,
INV-2025-000095,S,5.00,20258.94,1012.95,
INV-2025-000096,S,5.00,577721.59,28886.09,
INV-2025-000097,E,0.00,2664.66,0.00,
INV-2025-000097,S,5.00,5134.33,256.71,
INV-2025-000098,S,5.00,19130.78,956.54,
INV-2025-000099,S,5.00,591.94,29.60,
INV-2025-000100,S,5.00,4204.66,210.23,
INV-2025-000100,Z,0.00,13914.29,0.00,
INV-2025-000101,S,5.00,54269.00,2713.45,
INV-2025-000102,S,5.00,350271.65,17513.58,
INV-2025-000103,S,5.00,4892.89,244.65,
INV-2025-000104,S,5.00,2475.26,123.76,
INV-2025-000105,S,5.00,4207.49,210.38,
INV-2025-000106,E,0.00,4559.10,0.00,
INV-2025-000106,S,5.00,9369.53,468.48,
INV-2025-000107,E,0.00,727.23,0.00,
INV-2025-000107,S,5.00,1003.91,50.20,
INV-2025-000108,E,0.00,5793.97,0.00,
INV-2025-000108,S,5.00,1788.64,89.44,
INV-2025-000109,S,5.00,18263.84,913.19,
INV-2025-000110,S,5.00,8377.67,418.88,
INV-2025-000111,S,5.00,6940.08,347.00,
INV-2025-000112,S,5.00,669.90,33.50,
INV-2025-000113,S,5.00,9013.53,450.68,
INV-2025-000114,S,5.00,25614.33,1280.72,
INV-2025-000115,S,5.00,5988.84,299.44,
INV-2025-000116,S,5.00,157.92,7.90,
INV-2025-000117,S,5.00,173518.74,8675.94,
INV-2025-000118,E,0.00,749.80,0.00,
INV-2025-000118,S,5.00,165539.82,8277.00,
INV-2025-000119,S,5.00,13384.24,669.21,
INV-2025-000120,S,5.00,96.11,4.81,
INV-2025-000121,S,5.00,16061.66,803.08,
INV-2025-000122,S,5.00,3142.93,157.15,
INV-2025-000123,S,5.00,96180.33,4809.02,
INV-2025-000124,S,5.00,5018.03,250.90,
INV-2025-000125,E,0.00,1645.21,0.00,
INV-2025-000125,S,5.00,1539.85,76.99,
INV-2025-000126,S,5.00,260.79,13.04,
INV-2025-000127,S,5.00,8923.01,446.15,
INV-2025-000128,S,5.00,1951.39,97.57,
INV-2025-000129,E,0.00,832.26,0.00,
INV-2025-000129,S,5.00,3924.72,196.24,
INV-2025-000130,S,5.00,157.51,7.88,
INV-2025-000131,S,5.00,15015.13,750.76,
INV-2025-000132,S,5.00,1359.54,67.98,
INV-2025-000133,S,5.00,948.56,47.43,
INV-2025-000134,E,0.00,135.54,0.00,
INV-2025-000134,S,5.00,21029.98,1051.50,
INV-2025-000135,E,0.00,12647.79,0.00,
INV-2025-000135,S,5.00,112317.36,5615.87,
INV-2025-000136,S,5.00,55051.45,2752.56,
INV-2025-000137,S,5.00,608.90,30.45,
INV-2025-000138,S,5.00,718.29,35.92,
INV-2025-000139,S,5.00,2397.14,119.86,
INV-2025-000140,S,5.00,191505.99,9575.31,
INV-2025-000141,S,5.00,8497.04,424.85,
INV-2025-000142,S,5.00,59744.03,2987.20,
INV-2025-000143,S,5.00,6027.34,301.37,
INV-2025-000144,S,5.00,56314.62,2815.72,
INV-2025-000145,S,5.00,65130.56,3256.53,
INV-2025-000146,S,5.00,1868.45,93.43,
INV-2025-000147,S,5.00,17912.09,895.60,
INV-2025-000148,S,5.00,21.33,1.07,
INV-2025-000149,S,5.00,7997.22,399.86,
INV-2025-000150,S,5.00,38343.29,1917.16,
INV-2025-000151,S,5.00,10611.91,530.60,
INV-2025-000152,S,5.00,25057.13,1252.85,
INV-2025-000153,S,5.00,4709.32,235.46,
INV-2025-000154,E,0.00,372.22,0.00,
INV-2025-000154,S,5.00,43117.98,2155.90,
INV-2025-000155,S,5.00,1408.11,70.41,
INV-2025-000156,S,5.00,51686.58,2584.33,
INV-2025-000157,S,5.00,9900.25,495.02,
INV-2025-000158,S,5.00,521.46,26.07,
INV-2025-000159,S,5.00,48500.71,2425.04,
INV-2025-000160,E,0.00,2326.50,0.00,
INV-2025-000160,S,5.00,91084.22,4554.21,
INV-2025-000161,S,5.00,1978.64,98.93,
INV-2025-000161,Z,0.00,18665.97,0.00,
INV-2025-000162,S,5.00,217.27,10.86,
INV-2025-000163,S,5.00,26965.79,1348.28,
INV-2025-000164,S,5.00,6569.75,328.49,
INV-2025-000165,S,5.00,334796.29,16739.83,
INV-2025-000166,S,5.00,1187.74,59.39,
INV-2025-000167,S,5.00,6135.65,306.78,
INV-2025-000168,S,5.00,12009.46,600.47,
INV-2025-000169,E,0.00,1679.16,0.00,
INV-2025-000169,S,5.00,1278.79,63.94,
INV-2025-000170,E,0.00,31550.87,0.00,
INV-2025-000171,S,5.00,7644.90,382.25,
INV-2025-000172,S,5.00,41742.64,2087.14,
INV-2025-000173,S,5.00,2360.04,118.00,
INV-2025-000174,S,5.00,24162.86,1208.15,
INV-2025-000175,S,5.00,7883.52,394.18,
INV-2025-000176,S,5.00,5558.93,277.95,
INV-2025-000177,S,5.00,303.85,15.19,
INV-2025-000178,E,0.00,506.46,0.00,
INV-2025-000178,S,5.00,207056.31,10352.81,
INV-2025-000179,S,5.00,20453.84,1022.69,
INV-2025-000180,S,5.00,447.95,22.40,
INV-2025-000181,S,5.00,4966.58,248.33,
INV-2025-000182,S,5.00,20769.84,1038.49,
INV-2025-000183,S,5.00,11131.93,556.60,
INV-2025-000184,S,5.00,5157.26,257.86,
INV-2025-000185,S,5.00,7645.04,382.25,
INV-2025-000186,S,5.00,12468.29,623.41,
INV-2025-000187,S,5.00,17957.87,897.90,
INV-2025-000188,S,5.00,12940.69,647.03,
INV-2025-000189,S,5.00,129282.93,6464.14,
INV-2025-000190,S,5.00,3491.54,174.58,
INV-2025-000191,S,5.00,919.14,45.96,
INV-2025-000192,S,5.00,86968.68,4348.43,
INV-2025-000193,E,0.00,1453.50,0.00,
INV-2025-000193,S,5.00,3946.10,197.31,
INV-2025-000194,S,5.00,36701.91,1835.09,
INV-2025-000195,S,5.00,26959.03,1347.95,
INV-2025-000196,S,5.00,32071.73,1603.59,
INV-2025-000197,E,0.00,40382.32,0.00,
INV-2025-000197,S,5.00,160155.66,8007.79,
INV-2025-000198,S,5.00,6838.52,341.93,
INV-2025-000199,S,5.00,1769.21,88.46,
INV-2025-000200,S,5.00,8215.16,410.76,
INV-2025-000201,S,5.00,1329.30,66.47,
INV-2025-000202,S,5.00,9960.00,498.00,
INV-2025-000203,S,5.00,21970.78,1098.55,
INV-2025-000204,S,5.00,10037.56,501.88,
INV-2025-000205,S,5.00,3997.00,199.85,
INV-2025-000206,S,5.00,5127.30,256.37,
INV-2025-000207,S,5.00,3878.49,193.93,
INV-2025-000207,Z,0.00,3716.68,0.00,
INV-2025-000208,S,5.00,12360.10,618.01,
INV-2025-000209,S,5.00,91692.46,4584.63,
INV-2025-000210,S,5.00,4681.28,234.06,
INV-2025-000211,S,5.00,5502.49,275.13,
INV-2025-000212,S,5.00,2354.12,117.71,
INV-2025-000213,S,5.00,45550.41,2277.52,
INV-2025-000214,S,5.00,16522.92,826.15,
INV-2025-000215,S,5.00,17636.72,881.84,
INV-2025-000216,S,5.00,6551.59,327.59,
INV-2025-000217,S,5.00,28989.24,1449.47,
INV-2025-000218,S,5.00,389541.98,19477.10,
INV-2025-000219,S,5.00,1162.86,58.14,
INV-2025-000220,S,5.00,159.81,7.99,
INV-2025-000221,S,5.00,1885.38,94.27,
INV-2025-000222,S,5.00,4573.91,228.70,
INV-2025-000223,S,5.00,25687.45,1284.38,
INV-2025-000224,S,5.00,5007.36,250.87,ERR10_VAT_BREAKDOWN_INCONSISTENT
INV-2025-000224,Z,0.00,177.62,0.00,
INV-2025-000225,S,5.00,272.82,13.64,
INV-2025-000226,S,5.00,74.10,3.71,
INV-2025-000227,S,5.00,1034.24,51.71,
INV-2025-000228,S,5.00,293.49,14.67,
INV-2025-000229,S,5.00,556.92,27.85,
INV-2025-000230,S,5.00,343.89,17.19,
INV-2025-000231,S,5.00,46.37,2.32,
INV-2025-000232,S,5.00,109688.16,5484.41,
INV-2025-000233,S,5.00,60.64,3.03,
INV-2025-000234,S,5.00,11774.70,588.74,
INV-2025-000235,S,5.00,44817.91,2240.90,
INV-2025-000236,Z,0.00,23054.30,0.00,
INV-2025-000237,S,5.00,266738.49,13336.92,
INV-2025-000238,S,5.00,28911.45,1445.57,
INV-2025-000239,S,5.00,51236.12,2561.81,
INV-2025-000240,S,5.00,25021.15,1251.06,
INV-2025-000241,S,5.00,226148.31,11307.42,
INV-2025-000242,S,5.00,1405.71,70.29,
INV-2025-000243,S,5.00,89288.82,4464.44,
INV-2025-000244,S,5.00,274.92,13.75,
INV-2025-000244,Z,0.00,6543.18,0.00,
INV-2025-000245,S,5.00,11909.38,595.46,
INV-2025-000246,E,0.00,9917.88,0.00,
INV-2025-000246,S,5.00,45938.89,2296.94,
INV-2025-000247,S,5.00,26722.24,1336.12,
INV-2025-000248,E,0.00,282.49,0.00,
INV-2025-000248,S,5.00,51072.11,2553.61,
INV-2025-000249,S,5.00,310.69,15.53,
INV-2025-000250,S,5.00,795.68,39.78,
INV-2025-000251,S,5.00,22384.25,1119.21,
INV-2025-000252,S,5.00,2871.17,143.56,
INV-2025-000253,S,5.00,16072.62,803.62,
INV-2025-000254,E,0.00,359.43,0.00,
INV-2025-000254,S,5.00,374.07,18.70,
INV-2025-000255,S,5.00,12684.45,634.22,
INV-2025-000256,S,5.00,61331.83,3066.59,
INV-2025-000257,S,5.00,447.15,22.36,
INV-2025-000258,S,5.00,648.34,32.42,
INV-2025-000259,S,5.00,20852.54,1042.63,
INV-2025-000260,S,5.00,4072.53,203.62,
INV-2025-000261,S,5.00,31813.09,1590.66,
INV-2025-000261,Z,0.00,2589.64,0.00,
INV-2025-000262,S,5.00,133.64,6.68,
INV-2025-000263,S,5.00,159701.04,7985.06,
INV-2025-000264,S,5.00,233627.10,11681.36,
INV-2025-000265,S,5.00,31537.93,1576.91,
INV-2025-000266,E,0.00,277.19,0.00,
INV-2025-000266,S,5.00,3518.38,175.92,
INV-2025-000267,S,5.00,9130.38,456.52,
INV-2025-000268,S,5.00,15365.16,768.26,
INV-2025-000269,S,5.00,2502.55,125.12,
INV-2025-000270,S,5.00,5424.09,271.20,
INV-2025-000271,E,0.00,15993.00,0.00,
INV-2025-000271,S,5.00,136055.22,6802.76,
INV-2025-000272,S,5.00,13876.56,693.83,
INV-2025-000273,S,5.00,3127.05,156.35,
INV-2025-000274,S,5.00,4685.75,234.29,
INV-2025-000275,S,5.00,452.16,22.61,
INV-2025-000276,S,5.00,3440.03,172.00,
INV-2025-000277,E,0.00,2013.88,0.00,
INV-2025-000278,S,5.00,38271.68,1913.58,
INV-2025-000279,S,5.00,90694.45,4534.72,
INV-2025-000280,S,5.00,42.01,2.10,
INV-2025-000281,S,5.00,4514.44,225.72,
INV-2025-000282,S,5.00,209.42,10.47,
INV-2025-000283,S,5.00,1057.05,52.85,
INV-2025-000284,S,5.00,3292.26,164.61,
INV-2025-000285,S,5.00,657.06,32.85,
INV-2025-000286,S,5.00,84.73,4.24,
INV-2025-000287,S,5.00,1445.63,72.28,
INV-2025-000288,S,5.00,2549.55,127.48,
INV-2025-000289,S,5.00,4680.83,234.04,
INV-2025-000290,S,5.00,20498.36,1024.93,
INV-2025-000290,Z,0.00,2686.75,0.00,
INV-2025-000291,S,5.00,811.45,40.57,
INV-2025-000292,S,5.00,1109.10,55.46,
INV-2025-000293,E,0.00,5243.70,0.00,
INV-2025-000293,S,5.00,1600.97,80.05,
INV-2025-000294,S,5.00,3791.31,189.56,
INV-2025-000295,E,0.00,318.68,0.00,
INV-2025-000295,S,5.00,3484.35,174.21,
INV-2025-000296,S,5.00,34440.52,1722.02,
INV-2025-000297,S,5.00,1040.28,52.01,
INV-2025-000298,S,5.00,1019.53,50.98,
INV-2025-000299,S,5.00,650.29,32.51,
INV-2025-000300,S,5.00,11900.04,595.00,
INV-2025-000301,S,5.00,386.87,19.34,
INV-2025-000302,S,5.00,281.13,14.06,
INV-2025-000303,S,5.00,120685.52,6034.28,
INV-2025-000304,S,5.00,1761.22,88.06,
INV-2025-000305,S,5.00,1394.96,69.75,
INV-2025-000306,S,5.00,2437.91,121.89,
INV-2025-000307,S,5.00,40333.77,2016.69,
INV-2025-000308,S,5.00,107140.66,5357.04,
INV-2025-000309,S,5.00,74.88,3.74,
INV-2025-000310,S,5.00,2079.39,103.97,
INV-2025-000311,S,5.00,52070.63,2603.53,
INV-2025-000312,S,5.00,14793.80,739.69,
INV-2025-000313,S,5.00,498.90,24.95,
INV-2025-000313,Z,0.00,1641.49,0.00,
INV-2025-000314,S,5.00,13132.28,656.61,
INV-2025-000315,S,5.00,330.95,16.55,
INV-2025-000316,S,5.00,32838.10,1641.92,
INV-2025-000317,S,5.00,3221.69,161.09,
INV-2025-000318,S,5.00,3660.47,183.02,
INV-2025-000319,S,5.00,3022.64,151.13,
INV-2025-000320,S,5.00,2172.17,108.61,
INV-2025-000321,E,0.00,287.24,0.00,
INV-2025-000321,S,5.00,67863.20,3393.17,
INV-2025-000322,S,5.00,696.68,34.84,
INV-2025-000323,S,5.00,6037.30,301.87,
INV-2025-000324,E,0.00,28068.28,0.00,
INV-2025-000324,S,5.00,617.82,30.89,
INV-2025-000325,S,5.00,31269.19,1563.46,
INV-2025-000326,S,5.00,2235.66,111.78,
INV-2025-000327,S,5.00,600.76,30.04,
INV-2025-000328,S,5.00,67536.48,3376.83,
INV-2025-000329,S,5.00,5265.84,263.31,
INV-2025-000330,S,5.00,2481.25,124.06,
INV-2025-000331,S,5.00,5436.01,271.80,
INV-2025-000332,S,5.00,4966.88,248.35,
INV-2025-000333,S,5.00,21693.96,1084.70,
INV-2025-000334,S,5.00,4342.54,217.13,
INV-2025-000335,S,5.00,34994.08,1749.71,
INV-2025-000336,E,0.00,89373.50,0.00,
INV-2025-000337,S,5.00,4967.21,248.36,
INV-2025-000338,S,5.00,12144.21,607.23,
INV-2025-000339,S,5.00,11444.74,572.24,
INV-2025-000340,S,5.00,8165.29,408.27,
INV-2025-000341,S,5.00,18447.57,922.37,
INV-2025-000342,S,5.00,1454.51,72.73,
INV-2025-000343,S,5.00,29636.87,1481.84,
INV-2025-000344,S,5.00,3444.86,172.25,
INV-2025-000345,S,5.00,1194.05,59.70,
INV-2025-000346,S,5.00,20995.92,1049.80,
INV-2025-000347,S,5.00,935.76,47.29,ERR10_VAT_BREAKDOWN_INCONSISTENT
INV-2025-000348,S,5.00,75.33,3.76,
INV-2025-000349,S,5.00,68.91,3.45,
INV-2025-000350,S,5.00,163.53,8.18,
INV-2025-000351,S,5.00,178900.01,8945.00,
INV-2025-000352,S,5.00,13340.80,667.04,
INV-2025-000353,S,5.00,9208.08,460.41,
INV-2025-000354,S,5.00,33135.21,1656.76,
INV-2025-000355,E,0.00,467.02,0.00,
INV-2025-000355,S,5.00,84977.20,4248.87,
INV-2025-000356,S,5.00,158295.58,7914.78,
INV-2025-000357,S,5.00,3509.16,175.46,
INV-2025-000358,S,5.00,54741.72,2737.08,
INV-2025-000359,S,5.00,3904.92,195.25,
INV-2025-000360,S,5.00,80876.02,4043.81,
INV-2025-000361,S,5.00,3580.07,179.00,
INV-2025-000362,E,0.00,275.83,0.00,
INV-2025-000363,E,0.00,948.85,0.00,
INV-2025-000363,S,5.00,16847.79,842.39,
INV-2025-000364,E,0.00,11945.10,0.00,
INV-2025-000364,S,5.00,987.19,49.36,
INV-2025-000365,E,0.00,2265.06,0.00,
INV-2025-000365,S,5.00,34632.20,1731.61,
INV-2025-000366,S,5.00,206282.16,10314.11,
INV-2025-000367,S,5.00,7400.85,370.04,
INV-2025-000368,S,5.00,1911.00,95.55,
INV-2025-000369,S,5.00,203.58,10.18,
INV-2025-000370,E,0.00,14928.84,0.00,
INV-2025-000370,S,5.00,389.13,19.46,
INV-2025-000371,E,0.00,278.06,0.00,
INV-2025-000371,S,5.00,18689.68,934.48,
INV-2025-000372,E,0.00,15047.43,0.00,
INV-2025-000372,S,5.00,109059.48,5452.98,
INV-2025-000373,E,0.00,1230.79,0.00,
INV-2025-000373,S,5.00,27014.23,1350.72,
INV-2025-000374,S,5.00,30329.74,1516.49,
INV-2025-000375,S,5.00,3772.70,188.63,
INV-2025-000376,S,5.00,2214.59,110.73,
INV-2025-000377,S,5.00,46.60,2.33,
INV-2025-000378,S,5.00,34911.97,1745.60,
INV-2025-000379,E,0.00,2435.80,0.00,
INV-2025-000379,S,5.00,15447.00,772.35,
INV-2025-000380,S,5.00,6937.50,346.88,
INV-2025-000381,S,5.00,39600.28,1980.01,
INV-2025-000382,S,5.00,592.52,29.63,
INV-2025-000383,S,5.00,5700.79,285.04,
INV-2025-000384,S,5.00,37761.19,1888.06,
INV-2025-000385,S,5.00,18028.07,901.41,
INV-2025-000386,S,5.00,51110.63,2555.53,
INV-2025-000387,E,0.00,482.73,0.00,
INV-2025-000387,S,5.00,12827.28,641.36,
INV-2025-000388,S,5.00,23071.21,1153.56,
INV-2025-000389,S,5.00,328.88,16.44,
INV-2025-000390,S,5.00,68.95,3.45,
INV-2025-000391,E,0.00,777.27,0.00,
INV-2025-000391,S,5.00,16133.05,806.65,
INV-2025-000392,S,5.00,39324.31,1966.22,
INV-2025-000393,S,5.00,131534.13,6576.71,
INV-2025-000393,Z,0.00,71193.96,0.00,
INV-2025-000394,S,5.00,7145.42,357.27,
INV-2025-000395,S,5.00,4136.26,206.81,
INV-2025-000396,S,5.00,48031.83,2401.59,
INV-2025-000397,S,5.00,7919.61,395.98,
INV-2025-000398,S,5.00,2139.78,106.99,
INV-2025-000399,S,5.00,18012.55,900.63,
INV-2025-000400,E,0.00,845.82,0.00,
INV-2025-000400,S,5.00,114553.54,5727.68,
INV-2025-000401,E,0.00,221.42,0.00,
INV-2025-000401,S,5.00,5579.70,279.00,
INV-2025-000402,S,5.00,3814.98,190.75,
INV-2025-000403,S,5.00,27171.55,1358.58,
INV-2025-000404,S,5.00,1807.10,90.36,
INV-2025-000405,S,5.00,168.83,8.44,
INV-2025-000406,S,5.00,13887.90,694.40,
INV-2025-000407,S,5.00,56.11,2.81,
INV-2025-000408,S,5.00,6531.78,326.59,
INV-2025-000409,S,5.00,13319.78,665.98,
INV-2025-000410,S,5.00,23699.26,1184.97,
INV-2025-000411,S,5.00,412.65,20.63,
INV-2025-000412,S,5.00,11993.56,599.68,
INV-2025-000413,S,5.00,557.98,27.90,
INV-2025-000414,S,5.00,10665.95,533.30,
INV-2025-000414,Z,0.00,2679.14,0.00,
INV-2025-000415,S,5.00,693.80,34.69,
INV-2025-000416,S,5.00,1633.79,81.69,
INV-2025-000417,S,5.00,6744.14,337.21,
INV-2025-000418,E,0.00,10955.01,0.00,
INV-2025-000418,S,5.00,30890.96,1544.55,
INV-2025-000419,S,5.00,9639.34,481.96,
INV-2025-000420,S,5.00,10913.40,545.67,
INV-2025-000421,S,5.00,6975.49,348.77,
INV-2025-000422,S,5.00,35389.20,1769.46,
INV-2025-000422,Z,0.00,12615.40,0.00,
INV-2025-000423,E,0.00,770.29,0.00,
INV-2025-000423,S,5.00,813.04,40.66,
INV-2025-000424,S,5.00,380.01,19.00,
INV-2025-000425,S,5.00,3412.38,170.61,
INV-2025-000426,S,5.00,24246.09,1212.31,
INV-2025-000427,E,0.00,1464.67,0.00,
INV-2025-000427,S,5.00,4474.84,223.74,
INV-2025-000428,S,5.00,3288.49,164.42,
INV-2025-000429,S,5.00,16295.10,814.76,
INV-2025-000430,S,5.00,1333.42,66.67,
INV-2025-000431,E,0.00,138479.42,0.00,
INV-2025-000431,S,5.00,20910.32,1045.53,
INV-2025-000432,S,5.00,2947.44,147.37,
INV-2025-000433,S,5.00,85038.86,4251.95,
INV-2025-000434,S,5.00,12565.46,628.27,
INV-2025-000435,S,5.00,5745.73,287.28,
INV-2025-000436,S,5.00,3913.23,195.67,
INV-2025-000437,S,5.00,11066.53,553.33,
INV-2025-000438,S,5.00,13975.19,698.76,
INV-2025-000439,S,5.00,420.15,21.01,
INV-2025-000440,S,5.00,98243.11,4912.15,
INV-2025-000441,S,5.00,13814.19,690.71,
INV-2025-000442,S,5.00,1434.26,71.71,
INV-2025-000443,E,0.00,932.49,0.00,
INV-2025-000443,S,5.00,175666.18,8783.31,
INV-2025-000444,S,5.00,14254.35,712.72,
INV-2025-000010,E,0.00,438.39,0.00,ERR08_DUPLICATE_INVOICE_ID
INV-2025-000446,S,5.00,197859.41,9892.98,
INV-2025-000447,E,0.00,1991.98,0.00,
INV-2025-000447,S,5.00,18313.33,915.67,
INV-2025-000448,S,5.00,376.06,18.81,
INV-2025-000449,S,5.00,3310.22,165.51,
INV-2025-000450,S,5.00,306.38,15.32,
INV-2025-000451,S,5.00,2241.34,112.07,
INV-2025-000452,S,5.00,488793.37,24439.67,
INV-2025-000453,S,5.00,66069.45,3303.48,
INV-2025-000454,S,5.00,9112.62,455.63,
INV-2025-000455,S,5.00,24617.74,1230.89,
INV-2025-000456,E,0.00,15492.95,0.00,
INV-2025-000456,S,5.00,247.16,12.36,
INV-2025-000457,S,5.00,81801.96,4090.10,
INV-2025-000458,S,5.00,88857.62,4442.88,
INV-2025-000459,E,0.00,28259.28,0.00,
INV-2025-000459,S,5.00,17193.75,859.69,
INV-2025-000460,S,5.00,2580.85,129.04,
INV-2025-000461,S,5.00,25866.52,1293.33,
INV-2025-000461,Z,0.00,3540.79,0.00,
INV-2025-000462,S,5.00,11.70,0.59,
INV-2025-000463,S,5.00,2337.22,116.86,
INV-2025-000464,S,5.00,11137.26,556.86,
INV-2025-000465,S,5.00,7190.28,359.51,
INV-2025-000466,S,5.00,6128.92,306.43,
INV-2025-000467,S,5.00,119262.23,5963.11,
INV-2025-000468,S,5.00,1992.12,99.61,
INV-2025-000469,S,5.00,9190.94,459.55,
INV-2025-000470,S,5.00,11135.17,556.76,
INV-2025-000471,S,5.00,3620.27,181.01,
INV-2025-000472,S,5.00,844.19,42.21,
INV-2025-000473,S,5.00,22312.90,1115.64,
INV-2025-000474,S,5.00,28175.51,1408.78,
INV-2025-000475,S,5.00,8995.56,449.78,
INV-2025-000476,S,5.00,213.99,10.70,
INV-2025-000477,E,0.00,2509.68,0.00,
INV-2025-000477,S,5.00,5128.70,256.44,
INV-2025-000478,S,5.00,3052.79,152.64,
INV-2025-000479,S,5.00,1358.65,67.93,
INV-2025-000480,S,5.00,41450.23,2072.52,
INV-2025-000481,S,5.00,57065.80,2853.30,
